5
7
10
4 7-4 8-7 12-11 15-11 17-12 11-12 19-15 17-18 5-20 4-20 18-
4 8-5 8-7 13-11 16-11 18-12 12-12 18-16 17-18 6-19 4-20 17-
4 9-6 8-7 14-11 17-11 19-12 13-12 17-17 17-18 4-18 7-20 16-
4 10-7 8-7 15-11 18-11 20-12 14-12 16-17 4-18 8-18 17-20 15-
4 11-7 16-8 8-11 19-11 20-12 15-16 4-18 9-19 17-20 14-
4 12-7 17-9 8-11 20-12 14-12 16-15 4-18 10-20 13-20 17-
4 13-7 18-10 8-11 20-12 13-12 17-14 4-18 11-20 12-20 17-
4 14-7 19-11 8-11 20-12 12-12 18-13 4-18 12-20 11-20 17-
4 15-7 20-11 20-12 4-12 8-12 11-12 19-18 13-20 10-20 17-
4 16-7 20-11 4-11 20-12 10-12 20-13 8-18 14-20 9-20 17-
4 17-7 20-10 4-11 20-12 9-12 20-14 8-18 15-20 8-20 17-
4 18-7 20-9 4-11 20-12 8-12 20-15 8-18 16-20 7-20 17-
4 19-7 20-8 4-11 20-12 7-12 20-16 8-18 17-20 6-20 17-
4 20-7 4-7 20-11 20-12 6-12 20-17 8-18 18-20 5-20 17-
4 20-6 4-7 20-11 20-12 5-12 20-18 8-18 19-20 4-20 17-
4 20-5 4-7 20-11 20-12 4-12 20-18 20-19 8-20 3-20 17-
4 4-4 20-7 20-11 20-12 3-12 20-18 20-20 2-20 8-20 17-
3 4-4 20-7 20-11 20-12 2-12 20-18 20-20 1-20 8-20 17-
2 4-4 20-7 20-11 20-12 1-12 20-18 20-20 0-20 8-20 17-
1 4-4 20-7 20-11 20-12 0-12 20-18 20-20 0-20 8-20 17-
