5
7
10
3 2-4 3-4 6-4 11-4 18-8 17-10 16-10 18-14 5-17 20-20 16-20 20-
3 3-4 2-5 6-5 11-5 18-8 16-9 18-10 15-15 5-17 20-19 20-20 16-
2 3-5 2-6 6-6 11-6 18-8 15-8 18-10 14-16 5-17 20-18 20-20 16-
1 3-6 2-7 6-7 11-7 18-8 14-10 13-17 5-17 20-20 16-
0 3-6 18-7 2-8 6-8 11-8 13-8 18-10 12-16 20-17 20-18 5-20 16-
0 3-5 18-8 2-8 12-9 6-9 11-9 18-10 11-15 20-17 20-19 5-20 16-
0 3-4 18-8 11-9 2-10 6-10 10-10 11-10 18-14 20-17 20-20 5-20 16-
0 3-3 18-8 10-10 2-10 9-11 6-11 11-11 18-13 20-17 20-20 5-20 16-
0 3-2 18-8 9-10 8-11 2-12 6-12 11-12 18-12 20-17 20-20 5-20 16-
0 3-1 18-8 8-10 7-11 20-12 2-13 6-13 11-13 18-17 20-20 5-20 16-
0 3-0 18-8 7-10 6-10 20-13 2-14 6-14 11-14 18-17 20-20 5-20 16-
0 3-0 18-8 6-9 20-10 5-14 2-15 6-15 11-15 18-17 20-20 5-20 16-
0 3-0 18-8 5-8 20-10 4-15 2-16 6-16 11-16 18-17 20-20 5-20 16-
0 3-0 18-7 20-8 4-10 3-16 2-17 6-17 11-17 18-17 20-20 5-20 16-
0 3-0 18-6 20-8 3-10 2-17 2-17 20-18 6-18 11-18 18-20 5-20 16-
0 3-0 18-5 20-8 2-10 1-17 20-18 2-19 6-19 11-19 18-20 5-20 16-
0 3-0 18-4 20-8 1-10 0-17 20-19 2-20 5-20 6-20 11-20 16-20 18-
0 3-0 18-3 20-8 0-10 0-17 20-20 2-20 5-20 6-20 11-20 16-20 18-
0 3-0 18-2 20-8 0-10 0-17 20-20 2-20 5-20 6-20 11-20 16-20 18-
0 3-0 18-1 20-8 0-10 0-17 20-20 2-20 5-20 6-20 11-20 16-20 18-
