5
7
10
0 19-2 10-2 14-3 5-5 6-6 4-
0 20-1 10-2 13-3 4-5 5-7 4-
0 10-0 20-2 12-3 3-5 4-8 4-
0 10-0 20-2 11-3 2-5 3-9 4-
0 10-0 20-2 10-3 1-5 2-10 4-
0 10-0 20-2 9-3 0-5 1-11 4-
0 10-0 20-2 8-3 0-5 0-12 4-
0 10-0 20-2 7-3 0-5 0-13 4-
0 10-0 20-2 6-3 0-5 0-14 4-
0 10-0 20-2 5-3 0-5 0-15 4-
0 10-0 20-2 4-3 0-5 0-16 4-
0 10-0 20-2 3-3 0-5 0-17 4-
0 10-0 20-2 2-3 0-5 0-18 4-
0 10-0 20-2 1-3 0-5 0-19 4-
0 10-0 20-2 0-3 0-5 0-20 4-
0 10-0 20-2 0-3 0-5 0-20 4-
0 10-0 20-2 0-3 0-5 0-20 4-
0 10-0 20-2 0-3 0-5 0-20 4-
0 10-0 20-2 0-3 0-5 0-20 4-
0 10-0 20-2 0-3 0-5 0-20 4-
