5
7
10
0 9-1 19-7 10-7 18-8 18-8 20-10 0-13 5-13 8-
1 9-2 19-7 19-8 10-9 18-9 20-10 1-13 7-14 5-
2 9-3 19-7 20-9 10-10 2-10 18-10 20-13 6-15 5-
3 9-4 19-7 20-10 3-10 10-11 18-11 20-13 5-16 5-
4 9-5 19-7 20-10 4-11 10-12 18-12 20-13 4-17 5-
5 9-6 19-7 20-10 5-12 10-13 3-13 18-13 20-18 5-
6 9-7 19-7 20-10 6-13 2-13 10-14 18-14 20-19 5-
7 9-7 20-8 19-10 7-13 1-14 10-15 18-15 20-20 5-
7 20-8 9-9 19-10 8-13 0-15 10-16 18-16 20-20 5-
7 20-9 9-10 9-10 19-13 0-16 10-17 18-17 20-20 5-
7 20-10 9-10 10-11 19-13 0-17 10-18 18-18 20-20 5-
7 20-10 11-11 9-12 19-13 0-18 10-19 18-19 20-20 5-
7 20-10 12-12 9-13 0-13 19-19 10-20 5-20 18-20 20-
7 20-10 13-13 0-13 9-14 19-20 5-20 10-20 18-20 20-
7 20-10 14-13 0-14 9-15 19-20 5-20 10-20 18-20 20-
7 20-10 15-13 0-15 9-16 19-20 5-20 10-20 18-20 20-
7 20-10 16-13 0-16 9-17 19-20 5-20 10-20 18-20 20-
7 20-10 17-13 0-17 9-18 19-20 5-20 10-20 18-20 20-
7 20-10 18-13 0-18 9-19 19-20 5-20 10-20 18-20 20-
7 20-10 19-13 0-19 9-20 5-20 10-20 18-20 19-20 20-
