5
7
10
7 18-11 12-12 0-12 17-13 6-13 12-13 15-14 7-15 14-19 12-20 15-
7 19-11 11-12 1-13 7-13 13-13 17-14 6-14 14-14 15-19 15-20 12-
7 20-11 10-12 2-12 7-13 14-14 17-15 6-15 15-18 15-20 12-
7 20-11 7-11 9-12 3-12 14-13 15-15 17-16 6-16 15-17 15-20 12-
7 20-10 7-11 8-11 14-12 4-13 16-16 15-16 17-17 6-17 15-20 12-
7 20-9 7-10 14-11 7-12 5-13 17-15 15-17 17-18 6-18 15-20 12-
7 20-8 7-9 14-11 6-12 6-13 18-14 15-18 17-19 6-19 15-20 12-
7 7-7 20-8 14-11 5-12 7-13 15-13 19-19 17-20 6-20 12-20 15-
6 7-7 14-7 20-11 4-12 8-12 15-13 20-20 6-20 12-20 15-20 17-
5 7-6 14-7 20-11 3-11 15-12 9-13 20-20 6-20 12-20 15-20 17-
4 7-5 14-7 20-10 15-11 2-12 10-13 20-20 6-20 12-20 15-20 17-
3 7-4 14-7 20-9 15-11 1-12 11-13 20-20 6-20 12-20 15-20 17-
2 7-3 14-7 20-8 15-11 0-12 12-13 20-20 6-20 12-20 15-20 17-
1 7-2 14-7 15-7 20-11 0-12 13-13 20-20 6-20 12-20 15-20 17-
0 7-1 14-6 15-7 20-11 0-12 14-13 20-20 6-20 12-20 15-20 17-
0 7-0 14-5 15-7 20-11 0-12 15-13 20-20 6-20 12-20 15-20 17-
0 7-0 14-4 15-7 20-11 0-12 16-13 20-20 6-20 12-20 15-20 17-
0 7-0 14-3 15-7 20-11 0-12 17-13 20-20 6-20 12-20 15-20 17-
0 7-0 14-2 15-7 20-11 0-12 18-13 20-20 6-20 12-20 15-20 17-
0 7-0 14-1 15-7 20-11 0-12 19-13 20-20 6-20 12-20 15-20 17-
