5
7
10
0 14-2 20-3 15-5 0-5 8-6 9-8 4-9 5-12 10-14 18-17 11-19 16-20 13-
1 14-1 20-3 16-5 0-6 8-7 4-7 9-8 5-12 9-14 19-17 10-19 13-20 16-
0 20-2 14-3 17-5 0-6 4-7 5-7 8-8 9-12 8-14 20-17 9-18 13-20 16-
0 20-3 14-3 18-5 0-5 4-6 5-8 8-9 9-12 7-14 20-17 8-17 13-20 16-
0 20-3 19-4 4-4 14-5 0-5 5-9 8-10 9-12 6-14 20-16 13-17 7-20 16-
0 20-3 4-3 20-4 5-5 0-5 14-10 8-11 9-12 5-14 20-15 13-17 6-20 16-
0 20-2 4-3 5-3 20-5 0-6 14-11 8-12 4-12 9-14 13-14 20-17 5-20 16-
0 20-1 4-2 5-3 20-5 0-7 14-12 3-12 8-13 9-13 13-14 20-17 4-20 16-
0 4-0 20-1 5-3 20-5 0-8 14-12 2-12 13-13 8-14 9-14 20-17 3-20 16-
0 4-0 5-0 20-3 20-5 0-9 14-11 13-12 1-14 8-14 20-15 9-17 2-20 16-
0 4-0 5-0 20-3 20-5 0-10 13-10 14-12 0-14 20-15 8-16 9-17 1-20 16-
0 4-0 5-0 20-3 20-5 0-9 13-11 14-12 0-14 20-16 8-17 0-17 9-20 16-
0 4-0 5-0 20-3 20-5 0-8 13-12 0-12 14-14 20-17 0-17 8-18 9-20 16-
0 4-0 5-0 20-3 20-5 0-7 13-12 0-13 14-14 20-17 0-18 8-19 9-20 16-
0 4-0 5-0 20-3 20-5 0-6 13-12 0-14 14-14 20-17 0-19 8-20 9-20 16-
0 4-0 5-0 20-3 20-5 0-5 13-12 0-14 20-15 14-17 0-20 8-20 9-20 16-
0 4-0 5-0 20-3 20-4 13-5 0-12 0-14 20-16 14-17 0-20 8-20 9-20 16-
0 4-0 5-0 20-3 13-3 20-5 0-12 0-14 20-17 0-17 14-20 8-20 9-20 16-
0 4-0 5-0 20-2 13-3 20-5 0-12 0-14 20-17 0-18 14-20 8-20 9-20 16-
0 4-0 5-0 20-1 13-3 20-5 0-12 0-14 20-17 0-19 14-20 8-20 9-20 16-
