5
7
10
3 13-5 12-6 3-6 9-13 19-16 0-19 7-
3 14-5 9-5 11-7 3-13 18-16 0-19 8-
3 15-4 9-5 10-8 3-13 17-16 0-19 9-
3 9-3 16-5 9-9 3-13 16-16 0-19 10-
2 9-3 17-5 8-10 3-13 15-16 0-19 11-
1 9-3 18-5 7-11 3-13 14-16 0-19 12-
0 9-3 19-5 6-12 3-13 13-16 0-19 13-
0 9-3 20-5 5-13 3-13 12-16 0-19 14-
0 9-3 20-5 4-13 11-14 3-16 0-19 15-
0 9-3 20-5 3-13 10-15 3-16 0-19 16-
0 9-3 20-5 2-13 9-16 0-16 3-19 17-
0 9-3 20-5 1-13 8-16 0-17 3-19 18-
0 9-3 20-5 0-13 7-16 0-18 3-19 19-
0 9-3 20-5 0-13 6-16 0-19 3-19 20-
0 9-3 20-5 0-13 5-16 0-19 20-20 3-
0 9-3 20-5 0-13 4-16 0-19 20-20 3-
0 9-3 20-5 0-13 3-16 0-19 20-20 3-
0 9-3 20-5 0-13 2-16 0-19 20-20 3-
0 9-3 20-5 0-13 1-16 0-19 20-20 3-
0 9-3 20-5 0-13 0-16 0-19 20-20 3-
