5
7
10
0 1-1 10-3 4-4 7-4 9-4 10-6 20-18 5-
0 2-2 4-2 10-3 10-5 7-5 9-6 19-17 5-
0 3-1 4-2 10-3 10-6 7-6 9-6 18-16 5-
0 4-1 10-4 10-6 17-7 7-7 9-15 5-
0 4-0 5-0 10-5 10-6 16-8 7-8 9-14 5-
0 4-0 6-0 10-6 10-6 15-9 7-9 9-13 5-
0 4-0 7-0 10-6 14-7 10-10 7-10 9-12 5-
0 4-0 8-0 10-6 13-8 10-11 5-11 7-11 9-
0 4-0 9-0 10-6 12-9 10-10 5-12 7-12 9-
0 4-0 10-6 11-9 5-10 10-13 7-13 9-
0 4-0 10-0 11-6 10-8 5-11 10-14 7-14 9-
0 4-0 10-0 12-6 9-7 5-12 10-15 7-15 9-
0 4-0 10-0 13-6 5-6 8-13 10-16 7-16 9-
0 4-0 10-0 14-5 5-6 7-14 10-17 7-17 9-
0 4-0 10-0 15-4 5-6 6-15 10-18 7-18 9-
0 4-0 10-0 16-3 5-6 5-16 10-19 7-19 9-
0 4-0 10-0 17-2 5-6 4-17 10-20 7-20 9-
0 4-0 10-0 18-1 5-6 3-18 10-20 7-20 9-
0 4-0 5-0 10-0 19-6 2-19 10-20 7-20 9-
0 4-0 5-0 10-0 20-6 1-20 7-20 9-20 10-
